scraped_at,station_url,station_name,AQI,AQI_time,PM1,PM1_time,PM2.5,PM2.5_time,PM10,PM10_time,O3,O3_time,NO2,NO2_time,SO2,SO2_time,CO,CO_time,CO2,CO2_time,R.H.,R.H._time,Temp,Temp_time,Wind,Wind_time,Press,Press_time,TVOC,TVOC_time
2026-03-13 12:06:45,https://aqicn.org/station/@416842/,Jakarta GBK Gelora,,,,,50,"Mar 13, 2026 7:00 PM",18,"Mar 13, 2026 7:00 PM",70,"Mar 13, 2026 7:00 PM",30,"Mar 13, 2026 7:00 PM",1,"Mar 13, 2026 7:00 PM",0,"Mar 13, 2026 7:00 PM",,,68,"Mar 13, 2026 6:00 PM",31°C,"Mar 13, 2026 6:00 PM",4,"Mar 13, 2026 6:00 PM",,,,
2026-03-13 12:06:45,https://aqicn.org/station/indonesia/kemayoran/,Kemayoran,,,,,46,"Mar 13, 2026 6:00 PM",,,,,,,,,,,,,66,"Mar 13, 2026 6:00 PM",31°C,"Mar 13, 2026 6:00 PM",4,"Mar 13, 2026 6:00 PM",1007,"Mar 13, 2026 6:00 PM",,
2026-03-13 12:06:45,https://aqicn.org/station/@531679/,KBN Marunda Jakarta Utara,,,,,53,"Mar 13, 2026 7:00 PM",24,"Mar 13, 2026 7:00 PM",5,"Mar 13, 2026 7:00 PM",9,"Mar 13, 2026 7:00 PM",25,"Mar 13, 2026 7:00 PM",0,"Mar 13, 2026 7:00 PM",,,68,"Mar 13, 2026 6:00 PM",31°C,"Mar 13, 2026 6:00 PM",4,"Mar 13, 2026 6:00 PM",,,,
2026-03-13 12:06:45,https://aqicn.org/station/@531565/,Jakarta Timur Kebon Nanas,,,,,66,"Mar 13, 2026 7:00 PM",24,"Mar 13, 2026 7:00 PM",,,3,"Mar 13, 2026 7:00 PM",3,"Mar 13, 2026 7:00 PM",,,,,68,"Mar 13, 2026 6:00 PM",31°C,"Mar 13, 2026 6:00 PM",4,"Mar 13, 2026 6:00 PM",,,,
2026-03-13 12:06:45,https://aqicn.org/station/@495982/,Krukut,,,39,"Mar 13, 2026 7:00 PM",58,"Mar 13, 2026 7:00 PM",15,"Mar 13, 2026 7:00 PM",,,,,,,,,,,53%,"Mar 13, 2026 7:00 PM",31°C,"Mar 13, 2026 7:00 PM",4,"Mar 13, 2026 6:00 PM",,,,
2026-03-13 12:06:45,https://aqicn.org/station/@521365/,Pakubuwono Menteng,,,53,"Mar 13, 2026 7:00 PM",73,"Mar 13, 2026 7:00 PM",23,"Mar 13, 2026 7:00 PM",,,,,,,,,3,"Mar 13, 2026 7:00 PM",49%,"Mar 13, 2026 7:00 PM",32°C,"Mar 13, 2026 7:00 PM",4,"Mar 13, 2026 6:00 PM",,,42,"Mar 13, 2026 7:00 PM"
2026-03-13 12:06:45,https://aqicn.org/station/@570235/,Permata Hijau 3 Nafas,,,69,"Mar 13, 2026 7:00 PM",90,"Mar 13, 2026 7:00 PM",31,"Mar 13, 2026 7:00 PM",,,,,,,,,2,"Mar 13, 2026 7:00 PM",43%,"Mar 13, 2026 7:00 PM",34°C,"Mar 13, 2026 7:00 PM",4,"Mar 13, 2026 6:00 PM",,,19,"Mar 13, 2026 7:00 PM"
2026-03-13 12:06:45,https://aqicn.org/station/@537937/,Pakubuwono 3 Nafas,,,70,"Mar 13, 2026 7:00 PM",96,"Mar 13, 2026 7:00 PM",35,"Mar 13, 2026 7:00 PM",,,,,,,,,2,"Mar 13, 2026 7:00 PM",46%,"Mar 13, 2026 7:00 PM",31°C,"Mar 13, 2026 7:00 PM",4,"Mar 13, 2026 6:00 PM",,,30,"Mar 13, 2026 7:00 PM"
2026-03-13 12:06:45,https://aqicn.org/station/@521380/,Kedoya Utara Nafas,,,71,"Mar 13, 2026 7:00 PM",95,"Mar 13, 2026 7:00 PM",35,"Mar 13, 2026 7:00 PM",,,,,,,,,2,"Mar 13, 2026 7:00 PM",52%,"Mar 13, 2026 7:00 PM",32°C,"Mar 13, 2026 7:00 PM",4,"Mar 13, 2026 6:00 PM",,,48,"Mar 13, 2026 7:00 PM"
2026-03-13 13:07:25,https://aqicn.org/station/@416842/,Jakarta GBK Gelora,,,,,49,"Mar 13, 2026 8:00 PM",18,"Mar 13, 2026 8:00 PM",71,"Mar 13, 2026 8:00 PM",30,"Mar 13, 2026 8:00 PM",1,"Mar 13, 2026 8:00 PM",0,"Mar 13, 2026 8:00 PM",,,62,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,,
2026-03-13 13:07:25,https://aqicn.org/station/indonesia/kemayoran/,Kemayoran,,,,,39,"Mar 13, 2026 7:00 PM",,,,,,,,,,,,,70,"Mar 13, 2026 7:00 PM",30°C,"Mar 13, 2026 7:00 PM",4,"Mar 13, 2026 7:00 PM",1007,"Mar 13, 2026 7:00 PM",,
2026-03-13 13:07:25,https://aqicn.org/station/@531679/,KBN Marunda Jakarta Utara,,,,,53,"Mar 13, 2026 8:00 PM",23,"Mar 13, 2026 8:00 PM",5,"Mar 13, 2026 8:00 PM",9,"Mar 13, 2026 8:00 PM",24,"Mar 13, 2026 8:00 PM",0,"Mar 13, 2026 8:00 PM",,,62,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,,
2026-03-13 13:07:25,https://aqicn.org/station/@531565/,Jakarta Timur Kebon Nanas,,,,,66,"Mar 13, 2026 7:00 PM",24,"Mar 13, 2026 7:00 PM",,,3,"Mar 13, 2026 7:00 PM",3,"Mar 13, 2026 7:00 PM",,,,,62,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,,
2026-03-13 13:07:25,https://aqicn.org/station/@495982/,Krukut,,,45,"Mar 13, 2026 8:00 PM",63,"Mar 13, 2026 8:00 PM",17,"Mar 13, 2026 8:00 PM",,,,,,,,,,,55%,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,,
2026-03-13 13:07:25,https://aqicn.org/station/@521365/,Pakubuwono Menteng,,,53,"Mar 13, 2026 8:00 PM",71,"Mar 13, 2026 8:00 PM",22,"Mar 13, 2026 8:00 PM",,,,,,,,,3,"Mar 13, 2026 8:00 PM",52%,"Mar 13, 2026 8:00 PM",31°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,41,"Mar 13, 2026 8:00 PM"
2026-03-13 13:07:25,https://aqicn.org/station/@570235/,Permata Hijau 3 Nafas,,,70,"Mar 13, 2026 8:00 PM",91,"Mar 13, 2026 8:00 PM",31,"Mar 13, 2026 8:00 PM",,,,,,,,,1,"Mar 13, 2026 8:00 PM",41%,"Mar 13, 2026 8:00 PM",34°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,19,"Mar 13, 2026 8:00 PM"
2026-03-13 13:07:25,https://aqicn.org/station/@537937/,Pakubuwono 3 Nafas,,,69,"Mar 13, 2026 8:00 PM",95,"Mar 13, 2026 8:00 PM",34,"Mar 13, 2026 8:00 PM",,,,,,,,,1,"Mar 13, 2026 8:00 PM",48%,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,23,"Mar 13, 2026 8:00 PM"
2026-03-13 13:07:25,https://aqicn.org/station/@521380/,Kedoya Utara Nafas,,,78,"Mar 13, 2026 8:00 PM",107,"Mar 13, 2026 8:00 PM",42,"Mar 13, 2026 8:00 PM",,,,,,,,,2,"Mar 13, 2026 8:00 PM",51%,"Mar 13, 2026 8:00 PM",31°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,47,"Mar 13, 2026 8:00 PM"
2026-03-13 14:06:42,https://aqicn.org/station/@416842/,Jakarta GBK Gelora,,,,,48,"Mar 13, 2026 9:00 PM",18,"Mar 13, 2026 9:00 PM",72,"Mar 13, 2026 9:00 PM",30,"Mar 13, 2026 9:00 PM",1,"Mar 13, 2026 9:00 PM",0,"Mar 13, 2026 9:00 PM",,,62,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,,
2026-03-13 14:06:42,https://aqicn.org/station/indonesia/kemayoran/,Kemayoran,,,,,40,"Mar 13, 2026 8:00 PM",,,,,,,,,,,,,62,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",1009,"Mar 13, 2026 8:00 PM",,
2026-03-13 14:06:42,https://aqicn.org/station/@531679/,KBN Marunda Jakarta Utara,,,,,53,"Mar 13, 2026 9:00 PM",23,"Mar 13, 2026 9:00 PM",5,"Mar 13, 2026 9:00 PM",8,"Mar 13, 2026 9:00 PM",22,"Mar 13, 2026 9:00 PM",0,"Mar 13, 2026 9:00 PM",,,62,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,,
2026-03-13 14:06:42,https://aqicn.org/station/@531565/,Jakarta Timur Kebon Nanas,,,,,65,"Mar 13, 2026 9:00 PM",24,"Mar 13, 2026 9:00 PM",,,3,"Mar 13, 2026 9:00 PM",3,"Mar 13, 2026 9:00 PM",,,,,62,"Mar 13, 2026 8:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,,
2026-03-13 14:06:42,https://aqicn.org/station/@495982/,Krukut,,,51,"Mar 13, 2026 9:00 PM",69,"Mar 13, 2026 9:00 PM",20,"Mar 13, 2026 9:00 PM",,,,,,,,,,,55%,"Mar 13, 2026 8:00 PM",29°C,"Mar 13, 2026 9:00 PM",4,"Mar 13, 2026 8:00 PM",,,,
2026-03-13 14:06:42,https://aqicn.org/station/@521365/,Pakubuwono Menteng,,,69,"Mar 13, 2026 9:00 PM",88,"Mar 13, 2026 9:00 PM",30,"Mar 13, 2026 9:00 PM",,,,,,,,,3,"Mar 13, 2026 9:00 PM",52%,"Mar 13, 2026 8:00 PM",31°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,49,"Mar 13, 2026 9:00 PM"
2026-03-13 14:06:42,https://aqicn.org/station/@570235/,Permata Hijau 3 Nafas,,,68,"Mar 13, 2026 9:00 PM",89,"Mar 13, 2026 9:00 PM",30,"Mar 13, 2026 9:00 PM",,,,,,,,,2,"Mar 13, 2026 9:00 PM",42%,"Mar 13, 2026 9:00 PM",34°C,"Mar 13, 2026 9:00 PM",4,"Mar 13, 2026 8:00 PM",,,21,"Mar 13, 2026 9:00 PM"
2026-03-13 14:06:42,https://aqicn.org/station/@537937/,Pakubuwono 3 Nafas,,,72,"Mar 13, 2026 9:00 PM",100,"Mar 13, 2026 9:00 PM",38,"Mar 13, 2026 9:00 PM",,,,,,,,,2,"Mar 13, 2026 9:00 PM",51%,"Mar 13, 2026 9:00 PM",30°C,"Mar 13, 2026 8:00 PM",4,"Mar 13, 2026 8:00 PM",,,24,"Mar 13, 2026 9:00 PM"
2026-03-13 14:06:42,https://aqicn.org/station/@521380/,Kedoya Utara Nafas,,,69,"Mar 13, 2026 9:00 PM",92,"Mar 13, 2026 9:00 PM",33,"Mar 13, 2026 9:00 PM",,,,,,,,,2,"Mar 13, 2026 9:00 PM",51%,"Mar 13, 2026 9:00 PM",31°C,"Mar 13, 2026 9:00 PM",4,"Mar 13, 2026 8:00 PM",,,34,"Mar 13, 2026 9:00 PM"
