station_name,location,datetime_local,scraped_at,aqi,aqi_category,main_pollutant,pollutant_density,temperature,humidity,wind_speed,pressure
"Pulo Mas, Kayu Putih","Pulo Mas, Kayu Putih","09.00, Mar 31 Waktu setempat",2026-03-31 09:35:58,158,Tidak sehat,PM2.5,66 µg/m³,29°C,79%,7 km/h,1012 mbar
P2T,"Indonesia, Banten, South Tangerang","09.00, Mar 31 Waktu setempat",2026-03-31 09:36:29,119,Tidak sehat bagi kelompok sensitif,PM2.5,43 µg/m³,29°C,70%,8 km/h,1012 mbar
Yayasan AHP - Lebak Bulus,"Indonesia, Banten, South Tangerang","09.00, Mar 31 Waktu setempat",2026-03-31 09:36:55,124,Tidak sehat bagi kelompok sensitif,PM2.5,45 µg/m³,28°C,71%,8 km/h,1013 mbar
Casa Grande Tower Chianti,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:37:27,151,Tidak sehat,PM2.5,56 µg/m³,29°C,79%,7 km/h,1012 mbar
Ascott Kuningan - myhome,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:37:58,154,Tidak sehat,PM2.5,60 µg/m³,29°C,79%,7 km/h,1012 mbar
Taman Patra,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:38:24,147,Tidak sehat bagi kelompok sensitif,PM2.5,54 µg/m³,29°C,79%,7 km/h,1012 mbar
Wisma Matahari Power,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:38:55,153,Tidak sehat,PM2.5,59 µg/m³,29°C,79%,7 km/h,1012 mbar
INDODAX,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:39:26,135,Tidak sehat bagi kelompok sensitif,PM2.5,49.3 µg/m³,29°C,79%,7 km/h,1012 mbar
Kemang Timur V,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:39:58,122,Tidak sehat bagi kelompok sensitif,PM2.5,44 µg/m³,29°C,79%,7 km/h,1012 mbar
AHP Capital Place,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:40:29,156,Tidak sehat,PM2.5,62 µg/m³,29°C,79%,7 km/h,1012 mbar
ERASMUS HUIS DUTCH CULTURAL CENTER,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:40:54,134,Tidak sehat bagi kelompok sensitif,PM2.5,49.1 µg/m³,29°C,79%,7 km/h,1012 mbar
Cipete Selatan Asem II,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:41:25,112,Tidak sehat bagi kelompok sensitif,PM2.5,40 µg/m³,29°C,79%,7 km/h,1012 mbar
"Rambutan, Ciracas","Rambutan, Ciracas","09.00, Mar 31 Waktu setempat",2026-03-31 09:41:57,135,Tidak sehat bagi kelompok sensitif,PM2.5,49.2 µg/m³,29°C,79%,7 km/h,1012 mbar
Cilandak Barat,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:42:28,142,Tidak sehat bagi kelompok sensitif,PM2.5,52 µg/m³,29°C,79%,7 km/h,1012 mbar
Jeruk Purut,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:42:58,165,Tidak sehat,PM2.5,76 µg/m³,29°C,79%,7 km/h,1012 mbar
idsMED - JKT - Wisma 76,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:43:31,101,Tidak sehat bagi kelompok sensitif,PM2.5,35.5 µg/m³,29°C,79%,7 km/h,1012 mbar
Pakis,"Indonesia, Banten, South Tangerang","09.00, Mar 31 Waktu setempat",2026-03-31 09:44:09,149,Tidak sehat bagi kelompok sensitif,PM2.5,55 µg/m³,28°C,73%,7 km/h,1009 mbar
KJ.O,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:44:36,152,Tidak sehat,PM2.5,57 µg/m³,28°C,79%,7 km/h,1012 mbar
The RBS - AirVisual Outdoor,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:45:54,155,Tidak sehat,PM2.5,61 µg/m³,29°C,79%,7 km/h,1012 mbar
Graha LMU,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:46:24,161,Tidak sehat,PM2.5,70 µg/m³,29°C,79%,7 km/h,1012 mbar
Jakarta Atmaya residences,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:46:55,110,Tidak sehat bagi kelompok sensitif,PM2.5,39 µg/m³,29°C,79%,7 km/h,1012 mbar
Kemang V,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:47:26,152,Tidak sehat,PM2.5,57 µg/m³,29°C,79%,7 km/h,1012 mbar
"Widya Chandra, JK","Widya Chandra, JK","09.00, Mar 31 Waktu setempat",2026-03-31 09:47:57,149,Tidak sehat bagi kelompok sensitif,PM2.5,54.9 µg/m³,29°C,79%,7 km/h,1012 mbar
Gran Melia Jakarta,"Indonesia, Jakarta, Jakarta","09.00, Mar 31 Waktu setempat",2026-03-31 09:52:13,155,Tidak sehat,PM2.5,61 µg/m³,29°C,79%,7 km/h,1012 mbar
JI. Benda Dalam,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:21:38,105,Tidak sehat bagi kelompok sensitif,PM2.5,37 µg/m³,30°C,75%,11 km/h,1012 mbar
"Pulo Mas, Kayu Putih","Pulo Mas, Kayu Putih","10.00, Mar 31 Waktu setempat",2026-03-31 10:22:04,132,Tidak sehat bagi kelompok sensitif,PM2.5,48 µg/m³,30°C,75%,9 km/h,1012 mbar
Duta Niaga Pondok Indah,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:22:30,115,Tidak sehat bagi kelompok sensitif,PM2.5,41 µg/m³,30°C,75%,11 km/h,1012 mbar
P2T,"Indonesia, Banten, South Tangerang","10.00, Mar 31 Waktu setempat",2026-03-31 10:23:02,119,Tidak sehat bagi kelompok sensitif,PM2.5,43 µg/m³,30°C,64%,10 km/h,1012 mbar
Casa Grande Tower Chianti,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:23:30,129,Tidak sehat bagi kelompok sensitif,PM2.5,47 µg/m³,30°C,75%,11 km/h,1012 mbar
Ascott Kuningan - myhome,"Indonesia, Jakarta, Jakarta","10.00, Mar 31 Waktu setempat",2026-03-31 10:23:55,153,Tidak sehat,PM2.5,59 µg/m³,30°C,75%,11 km/h,1012 mbar
Yayasan AHP - Lebak Bulus,"Indonesia, Banten, South Tangerang","10.00, Mar 31 Waktu setempat",2026-03-31 10:24:27,96,Sedang,PM2.5,33 µg/m³,30°C,65%,9 km/h,1013 mbar
